input,output,instructions
"Okay. Let’s get to the elephant in the room, Snap, you helped it go public at $17, it’s now trading at $6 and change. I know that you helped grow revenue, and do a lot of things there. Clearly there’s still a lot to do, and markets don’t think it was enough, so why leave when you did, which was just a few weeks ago?","Yeah, I think, first of all, it’s never-, I never believe in timing things, right, because if you’re always trying to time things, you always miss the bigger picture. I think what we achieved, in the last four years, as Snap, in the business, I’m incredibly proud of. Right? When we joined, the company had pre-revenue, when we left, they had $1.2 billion dollar run rate revenue. When we joined, there were, like, a little over 100 or so people, now we have 3,000 people. The company was in a QuickBook, now we’re a public company. So, as a business, over the last four years, we have incredibly achieved a lot of things. Look, stock price is a sentiment barometer at that point what investors are thinking about your company, what they are thinking about the overall landscape, what they are thinking about the overall macro economy. You just cannot really make a decision based on stock price. You know, as I said yesterday, in our conversations, that Evan and team are focused on building the business, you know, I think it’s all about innovation, so if they can continue to innovate, they will do fine.","Okay. Let’s get to the elephant in the room, Snap, you helped it go public at $17, it’s now trading at $6 and change. I know that you helped grow revenue, and do a lot of things there. Clearly there’s still a lot to do, and markets don’t think it was enough, so why leave when you did, which was just a few weeks ago?"
"Then what are you seeing, that the market is not seeing? Why doesn’t the market seem to believe in that innovation, and all the things that you put in place? What are they missing about Snap?","I think, you know, Snap has to execute in terms of some of the newer product innovation, you know, I think, this year, obviously, the redesign, and some of the things, there were some hiccups, and I think they need to show that they can continue to innovate the way they did in the past.","Then what are you seeing, that the market is not seeing? Why doesn’t the market seem to believe in that innovation, and all the things that you put in place? What are they missing about Snap?"
"Right. Now, there’s been some reports that Evan looks at the long-term. Is that-, do you think that that’s the right way to look at your company, if you’re a public company CEO, not worry about the markets and the day-to-day, and look at the long-term?"," Look, I cannot really comment on what Evan does or doesn’t do, that’s-, I think you need to ask him, but I think, you know, if you look at-,","Right. Now, there’s been some reports that Evan looks at the long-term. Is that-, do you think that that’s the right way to look at your company, if you’re a public company CEO, not worry about the markets and the day-to-day, and look at the long-term?"
"So, you know, you guys would work together on this, so would you talk about the long-term-, how much would you talk about the short-term, and what you needed to share and show investors?","Yeah, look, I think what-, I think it’s really- have to appreciate what I did during the work was, that’s probably not the right thing to talk about, because of a variety of reasons, but I think if you take a step back, and look at the people who build big businesses, you know, they always really have to believe in long-term, and-, and, you know, if you don’t execute-, primarily in the technology space, the world has changed so fast, if you don’t take a long-term view, and just really manage business, from day to day, and quarter to quarter, you will miss a lot of different things. So, I think, you know, my interactions with a lot of great entrepreneurs, you know, they always really focus on long-term, so I think that’s a good thing to do, but also, at the same time, you obviously have to recognize that long-term consists of a series of short-terms, but focus-, losing focus on long-term, and who your customers are, is never the right thing to do, so I think all great entrepreneurs should focus on long-term.","So, you know, you guys would work together on this, so would you talk about the long-term-, how much would you talk about the short-term, and what you needed to share and show investors?"
"Right, and, you know, I know that Evan, and you working with him, big picture, you have this vision for Snap to be essential, right, especially based on the camera. Is there a business plan to get there? Why is execution taking so long?"," I think-, you know, I probably would beg the question with that, you know, because I think-, you know, there’s very few companies – you know, in China, obviously, that happens all the time, apparently – but outside China, there’s very few companies that goes from $0 to $1.2 billion dollar revenue, run rate revenue, in 45 months. So, that’s-, to me, it’s a pretty good execution, but","Right, and, you know, I know that Evan, and you working with him, big picture, you have this vision for Snap to be essential, right, especially based on the camera. Is there a business plan to get there? Why is execution taking so long?"
You’re happy with that?,"I’m very proud of it, what we achieved.",You’re happy with that?
"Okay. What have you learned from your time at Snap, then? What lessons are you going to take, when you start your own business?","Look, I think-, a few things. I think-, you know, I think, one, really continue to build a great team, surround yourself with really, really smart people, bring a-, create a great culture that is transparent, and-, you know, and be deliberate, very deliberate what decisions you make.","Okay. What have you learned from your time at Snap, then? What lessons are you going to take, when you start your own business?"
" Let’s talk a little bit about what was going on at Snap, when you were there, you were Chief Strategy Officer, and, all of a sudden, Instagram starts doing some very similar things that Snap was doing. What was that like? How did your strategy change, or not change? Did you start to pay more attention to Instagram? Or were you paying attention all along?"," I think-, look, I think, again, the right way to run a business is really focus on how you continue to innovate your product, and the moment you cannot innovate, you know, you are not be able to succeed. You know, I think if you look at, in the mobile, what’s happening, that people are continually spending more and more time on mobile devices, and the time spent on mobile devices will continue to grow, and as the time spent on mobile continues to grow, everybody’s trying to fight for how can they capture more share, and the only way you’re going to get it is through innovation, and continuing to build the best product and best engagement."," Let’s talk a little bit about what was going on at Snap, when you were there, you were Chief Strategy Officer, and, all of a sudden, Instagram starts doing some very similar things that Snap was doing. What was that like? How did your strategy change, or not change? Did you start to pay more attention to Instagram? Or were you paying attention all along?"
"Right, and Snap’s product is still more innovative? Would you say that? To Instagram? Is Instagram now creating its own, or is it still copying?","I think they’re very different products, in many different ways. There are obviously a lot of similarities, but then there’s a lot of differentiation, so there’s a couple of differences, right? So, in Snap, you open to a camera, so you actually record your experience. In Instagram, you go there, and you actually open to someone else’s experience. A very different experience. While they have a lot of similarities, they also have a lot of differences like that. For example, Snap has products like maps, you know, Instagram doesn’t. So, I think, you know, while we focus a lot on the different similarities, there’s-, also there’s a lot of different things, that the different products have, and I think, long-term, who is going to win will ultimately depend on who is going to continue to innovate.","Right, and Snap’s product is still more innovative? Would you say that? To Instagram? Is Instagram now creating its own, or is it still copying?"
"Is it a zero sum game, then, if you say it depends on who’s going to win? Or can both win?"," I think, if you look at markets like China, there are multiple players that exist, time spent continue to-, perfect example is if you look at the network television, right? There are ABC, CBS, NBC, Fox, they all create different kind of shows, but you have four different networks who are doing really, really well.","Is it a zero sum game, then, if you say it depends on who’s going to win? Or can both win?"
"Let’s talk a little bit-, I would love to get your view on the very bad year for Facebook. How do you see-, where have they misstepped? Have they? And what do you think needs to happen now? Not just what Facebook needs to do, but perhaps in terms of regulation?","So, two different questions. I think tech companies, as they’re becoming really, really big, you know, there will be-, you know, obviously, they’re impacting a lot of people’s lives, they’re impacting a lot of different businesses, and when that happens, you know, there has to be some sort of regulations. But I think one of the things that’s really, really important, is that it has to be smart regulations. Right? I think-, I am not opposed to having regulations, but what-, we really need to be very, very mindful that the regulations we are doing are the smart regulations. Because I think-, take an example of the banking industry, right? In 2008, the financial crisis happened, all these different regulations came along, you know, because-, I think probably one of the goals was, make the banks safer, let’s make sure that they’re not too big to fail. Ten years later, you know, the US biggest banks are still the biggest banks, and they’re bigger than ever. So, I don’t-, I don’t think-, are those-, so now I really have to take a step back, and say, ’Were those regulations really smart? What happened to all the smaller businesses? What banks? What happened to all these community banks? So, again, I think one of the reasons the technology companies are really, really being very successful, is that there’s a lot of entrepreneurs who are able to come and build great businesses, and suddenly, if you want to bring regulations, that’s fine, but those regulations have to be smart, so that it doesn’t stifle, you know, innovation. And I think that’s really, really important.","Let’s talk a little bit-, I would love to get your view on the very bad year for Facebook. How do you see-, where have they misstepped? Have they? And what do you think needs to happen now? Not just what Facebook needs to do, but perhaps in terms of regulation?"
" In the case of Facebook, have they mishandled their users’ data?"," Look, I think-, I don’t have all the details to really talk about what they did or they didn’t, you know, but-,"," In the case of Facebook, have they mishandled their users’ data?"
"Right. So, you’re saying, essentially, there could be more skeletons in the closet?","I have no idea. I think, you know, if I were running that business, and issues like that, I would probably look in to it, those other area, that code of conduct that’s something I can be proud of.","Right. So, you’re saying, essentially, there could be more skeletons in the closet?"
What do you use Instagram for and what do you use Snap for?," Uh, I use Snap for communications, I use Snap, too, for expressing my day-to-day life. And Instagram, I use to look at some influencers, or celebrities, you know.",What do you use Instagram for and what do you use Snap for?
"But isn’t that what Snap is supposed to do, too? You think about someone, like, uh-, which-, Kylie Jenner, who-,","No, Snap is-, Snap-, Snap is more of a visual communications, right? So, the company started with the core thesis that people are communicating more and more with pictures, and-, and that’s how the familial communication came, that you take pictures, and you communicate with pictures, and-, whereas Instagram is you are basically putting your best scene. And it’s great, like, look, I can-, in my opinion, they serve, you know, two different objectives, and that’s fine.","But isn’t that what Snap is supposed to do, too? You think about someone, like, uh-, which-, Kylie Jenner, who-,"
"But, here is the catch in your argument. And that catch is, the supporters of this government, the sympathizers of this government and many liberal voices in Pakistan are saying that this is a test case for democracy, that an elected government should be allowed to complete its tenure, and why is the Opposition pushing for an early election?","Well, in normal circumstances I would agree. But now what is this government trying to do? It's trying to demolish an independent Supreme Court. Are early elections going to destroy our democracy? Or, if the independent judiciary is destroyed, would that destroy our democracy? Surely, the third world is third world because they do not have an independent justice system; and criminals come in to power to loot the country and they have no checks and balances. Pakistan, as I said, has moved on. First time, we've had an independent Supreme Court. Now, if this government takes on the Supreme Court just so that it can protect Asif Zardari's corruption of billions of dollars, I'm afraid that if you stand, if people stand by the judiciary and it wins, then our democracy wins. If our judiciary loses, our democracy loses.","But, here is the catch in your argument. And that catch is, the supporters of this government, the sympathizers of this government and many liberal voices in Pakistan are saying that this is a test case for democracy, that an elected government should be allowed to complete its tenure, and why is the Opposition pushing for an early election?"
"What do you say to those voices in your country who are suggesting that in some ways, the judiciary and the military today are on the same side in this debate?"," I don't know if there is any indication of that, but all I know is that the Supreme Court has been very lenient with this government. I mean the day the NRO was struck down - an NRO brokered by the Bush Administration - which Condoleezza Rice writes in her book, that she helped waive off all corruption cases of Benazir and 8,000 people. Corruption cases of over a trillion rupees were waived off. Would they do that in their own countries? Would they do this? Allow criminals to be given an amnesty? And then allow them to contest elections? And then the biggest crook becomes the President? Would they allow that?","What do you say to those voices in your country who are suggesting that in some ways, the judiciary and the military today are on the same side in this debate?"
"Their argument, of course, is that these were political cases. They were acts of vendetta, and you needed the amnesty to create a democracy movement. That's their argument.","Absolute nonsense. They destroyed our democracy by that NRO election. Nowhere in the western world are criminals allowed to contest elections. These were not political cases; Asif Ali Zardari's case was in the Swiss courts. He was already convicted; he was on appeal. All these cases were withdrawn, thanks to the Americans, because they wanted a puppet government here, which would bomb its own people. And so, when Musharraf was weakening, they got them together, as Condoleezza Rice so shamefully, but triumphantly, says in her book. And so, we got this government of crooks. And the Supreme Court, whenever it challenged them, the government took the Supreme Court on. Almost making out that if the Supreme Court took on the crooked politicians, democracy was at stake. So, hiding behind democracy, they kept looting the country. Never have we had so much corruption in this country as today. And, so therefore, whoever says that the Army is behind it, I think that, if anything, the Supreme Court has been very lenient because they allowed them to go on plundering this country. There's been one scam after another. And yet, the country has helplessly been looking at the Supreme Court to take action. And this government has stonewalled the Supreme Court. So, finally, the Supreme Court has passed a contempt notice on the Prime Minister and everyone is watching if the government tries to now defy the Supreme Court, they won't know what hit them. Because my party and the tsunami will be in the streets and they won't be able to contain it.","Their argument, of course, is that these were political cases. They were acts of vendetta, and you needed the amnesty to create a democracy movement. That's their argument."
"What about the fact that on the same day that the Prime Minister gets this contempt notice, he also wins the trust vote that asserts the supremacy of Parliament. Does that change the game?",This Parliament is a coalition of crooks.,"What about the fact that on the same day that the Prime Minister gets this contempt notice, he also wins the trust vote that asserts the supremacy of Parliament. Does that change the game?"
"I was just going to say that we're sitting here talking to you outside this beautiful home because there is no electricity, even in Imran Khan's home. Why are politicians not talking about these issues? Why is it such a rhetorical campaign about everything else here in Pakistan except the economy?","No, Barkha, we do talk about it. We've had demonstrations of electricity and gas shortages. But, unfortunately, everyday a new issue comes along. You wake up and there is another issue. Another scam, you know, rental power scam, then you wake up and there is some fertilizer scam of billions of rupees. Therefore, you know, you don't know what to concentrate on. People were hoping that this government would finally leave. People are sick of this government and waiting for them to go. But this is an issue. What is in the Supreme Court? The whole country is now waiting, expecting the Supreme Court to dispense justice.","I was just going to say that we're sitting here talking to you outside this beautiful home because there is no electricity, even in Imran Khan's home. Why are politicians not talking about these issues? Why is it such a rhetorical campaign about everything else here in Pakistan except the economy?"
Are you looking for an early election?,"Well, for our party, obviously. I mean, if the government lasts till the elections, it's of great benefit to us because we're gaining every day.",Are you looking for an early election?
 So you wouldn't want an early election?,"No, from our point of view, I mean Tehreek-e-Insaf point of view. But from Pakistan's point of view, the sooner the elections, the better. The sooner we get rid of this coalition of crooks, the better we can start rebuilding this country.", So you wouldn't want an early election?
"You don't buy the argument that this is about the supremacy of Parliament, and this is about preserving that democratic supremacy?"," In Pakistan's democracy, it's supremacy of the Constitution. Parliament is sovereign, but the Constitution is supreme. So what this government is doing is defying the Constitution. By standing up to, by defying the orders of the Supreme Court, it is actually going against the Constitution. In fact, there are about 18 judgments of the Supreme Court this government has defied so far.","You don't buy the argument that this is about the supremacy of Parliament, and this is about preserving that democratic supremacy?"
"I want to ask you, there are those who say Imran Khan's being backed by the Pakistani army. I read this all the time in the Pakistani media.","Well, this is what all the politicians are petrified of. Because they don't know what's happened; how come this tsunami has suddenly built up? But if the Army has now helped us, then surely it must be manipulating the Pew polls, which are American opinion polls where Tehreek-e-Insaf has been number one for six months now. YouGov polls in England; there we've been number one. All the polls which are conducted in Pakistan, we're the number one party now. So surely, they must be manipulating that. And then, a quarter of million people turn up in Lahore, and a quarter of a million in Karachi. General Musharraf, when he was the head of the ISI and the army, he couldn't pull a miniscule crowd compared to that. Forget about the passion in the crowd. Aren't they overestimating the army?","I want to ask you, there are those who say Imran Khan's being backed by the Pakistani army. I read this all the time in the Pakistani media."
"General Musharraf, since you have mentioned him, is now looking to be part of your alliance.","Well, unfortunately, I mean it is kind of him to want to be a part of our alliance but we can't accept him. Simply because the NRO the reason why these criminals are sitting, this Asif Zardari, is because of General Musharraf. A deal brokered between him and...","General Musharraf, since you have mentioned him, is now looking to be part of your alliance."
So you will have nothing to do with him?,"Absolutely not. And my advice to him is, he shouldn't come to Pakistan because his life would be in danger.",So you will have nothing to do with him?
" But, you know, when I was interviewing him in London a couple of months ago, he said that you were the best of the available options. But he also said that, ""Imran thinks that running Pakistan is like being the captain of a cricket team""."," Well, time will tell whether the captain of a cricket team does a better job with Pakistan or the army chief who took over and left this mess."," But, you know, when I was interviewing him in London a couple of months ago, he said that you were the best of the available options. But he also said that, ""Imran thinks that running Pakistan is like being the captain of a cricket team""."
So you will have nothing to do with him?,"No, we cannot have any alliance with General Musharraf. Actually, we have no plans of any alliances. We will fight alone.",So you will have nothing to do with him?
"But if you do not get the numbers, you will need help from somebody. You may?"," I am confident that - I have been saying this before - that we will sweep this election. And I am confident because I know I am amongst the people. People have changed. This is a new Pakistan. And the youth in Pakistan, which is 70% of the population, they have already made up their minds. They are not making up their minds; they have made up their minds. Just go to any university, college and you will know where the youth stands. And youth and women are always in the forefront of the change. And this is where Tehreek-e-Insaf is way ahead of all the other parties. So why would we want alliance with those parties which represent the status quo? Which is all of them sitting in power. All of them have benefited from this corrupt system and most of them, in fact all their leaders, have massive corruption cases against them. Why would I want alliance with them? I'd much rather, if I don't get the numbers, sit in the Opposition and be a proper Opposition in Pakistan, than form a coalition with these crooks.","But if you do not get the numbers, you will need help from somebody. You may?"
" But tell me, what do you make of the very public spat between the civilian government and the military that began with the Memogate controversy? It's quite rare to see that in Pakistan."," Well, but these are exceptional circumstances. As I said, the accusation against Asif Zardari, of having asked the Americans help to get rid of the top military brass so that he could have his pliant officers there, so that he could serve them better."," But tell me, what do you make of the very public spat between the civilian government and the military that began with the Memogate controversy? It's quite rare to see that in Pakistan."
The alleged memo says that they feared a military takeover after Osama bin Laden was killed.,"Yes, and that's why he wanted to get rid of the top brass. So, would you be surprised if the army was angry? The people are angry in Pakistan. Everyone in Pakistan thought this was asking Americans to help them against the army; it's a treasonable case.",The alleged memo says that they feared a military takeover after Osama bin Laden was killed.
"It's interesting that you say that it's a treasonable case because the government here is planning to file treason charges against Mansoor Ijaz, as and when he comes to Pakistan, because they are saying that he's made statements in the past that he was responsible and involved in toppling Benazir Bhutto's government.","Well, I am just giving you what the case is. It's sub judice and there is a Judicial Commission, which is now investigating. And I don't know what comes out of it. But if the allegation is true, it is quite shocking and the army has a right to be angry.","It's interesting that you say that it's a treasonable case because the government here is planning to file treason charges against Mansoor Ijaz, as and when he comes to Pakistan, because they are saying that he's made statements in the past that he was responsible and involved in toppling Benazir Bhutto's government."
Were you surprised that Mansoor Ijaz did not show up for his testimony?," I do not have a very high opinion of Mansoor Ijaz. For me, he is a non-entity. I don't know why anyone took him seriously.",Were you surprised that Mansoor Ijaz did not show up for his testimony?
You said earlier that the age of an army takeover is over in Pakistan. Do you see this stand-off subsiding?,"No. I don't see. Whatever happens, I don't see a military takeover.",You said earlier that the age of an army takeover is over in Pakistan. Do you see this stand-off subsiding?
"So how does this play out? Because you know that the world is waiting to see. And what seems is that this is a country, it's a very dangerous part of the world right now, and it's got its institutions in collision with each other."," I don't look at it like that. Eventually, what is the worst that can happen to this government? Early elections. Early elections will strengthen our democracy. My only fear is, if the government demolishes the Supreme Court, which they have made every effort. They have bribed lawyers; they have sort of tried to get the Supreme Court Bar Association pitted against the Supreme Court. They have done everything. But actually people have stood behind the Supreme Court. If you look at all the opinion polls, the Supreme Court is the most respected institution in Pakistan. So people are standing behind it. And this government, in order to protect the corruption of Asif Zardari and his cronies, is now trying to demolish it. So, if they win, if this government wins, that's where our democracy will be destroyed. That's when I see chaos. But if there are early elections, it will only strengthen our democracy.","So how does this play out? Because you know that the world is waiting to see. And what seems is that this is a country, it's a very dangerous part of the world right now, and it's got its institutions in collision with each other."
"They've called you anti-west. They've called you Taliban Khan in the past; they say you use religion to mobilize the masses. They are critical of the fact that for example, you have prayed on stage during your Jalsas. There has been some criticism in the Pakistani media of that. And you're like an Oxford educated ."," Okay, let's start one by one. They call me anti- western. Number one, anti-western. What is west as geography? It's like being anti-Asian, anti- Australian. What is this nonsense? I have been anti-war on terror from day one and time has proven that, whatever I have said has proven to be correct. I opposed military actions; I always said there was a political solution. Today, Americans are talking to the Taliban; they've allowed an office to open in Qatar, they are trying to talk to the Taliban. Is that not what I was saying for eight years? That's why they call me pro-Taliban because I opposed military action.","They've called you anti-west. They've called you Taliban Khan in the past; they say you use religion to mobilize the masses. They are critical of the fact that for example, you have prayed on stage during your Jalsas. There has been some criticism in the Pakistani media of that. And you're like an Oxford educated ."
You said there should be a dialogue with the Taliban.,"Number two they talk about praying on stage. I pray five times a day. If I only prayed on the stage and not normally, then they should call me.",You said there should be a dialogue with the Taliban.
"But they are saying you are making that image a part of your politics, you are mixing religion with politics.","Supposing I did pray on stage, am I not respecting the sentiments of my people? This is a Muslim country. Most of the people pray here. Am I not respecting them? If I am a politician, should I try and go against the sentiments of the people of Pakistan? And thirdly when they say I am using religion, I am only in politics. If I were not spiritual I would not be in politics. Spirituality makes you selfless. I have everything God would ever, whatever I want from The Almighty, I have. The only reason I have come into politics is I feel it's a responsibility because I have so much; I should try and do something for the people. I've built a hospital, I've built a university, I've done a lot of work in the floods, I have helped building villages. But, should we, people like me who have everything, all doors are open for me in the society. Should I sit back and watch my country being plundered by criminals and take the easy open? Or should I take them on? And it's my spirituality. It's the spirituality that tells you that you should be selfless. The more God gives you, the more he puts responsibility on you to do for other people. And so that's why I'm in politics. If I did not have faith in God, I would not be in politics.","But they are saying you are making that image a part of your politics, you are mixing religion with politics."
"What about those in Pakistan or elsewhere who kill in the name of religion? You know you describe yourself as spiritual, I remember when we were discussing your memoirs and your former wife Jemima was moderating your book launch in England; she actually said it was too dangerous. She feared for your life to ask you where you stood on the blasphemy controversy in Pakistan, and I remember you told me that you have never supported killing in the name of religion, but you accepted her argument that it was too dangerous in Pakistan right now to have a debate on the issue.","Okay, let's take one thing, one by one again. Religion, if it does not make you compassionate and just, every religion, every religion's basic message is that you become compassionate, selfless. You have to be compassionate to other human beings and in case of a Muslim, remember, it's Rabbana-Alim, Lord of all human beings; it's not Rabbana-Muslim, Lord of Muslims. So you have the responsibility to be compassionate to all human beings. So killing in the name of religion is a contradiction in terms. Number two, you have to be just. So as opposed to the animal kingdom where might is right, you have to be just in a humane society. So if these two things do not come inside your heart, then it means it's a false religion. You are using religion for other means and I'm talking about every religion. Now what you talked about what Jemima said, she is right. Pakistan society, thanks to this war on terror, is totally polarized now. One of my closest friends and one of the most enlightened muslin scholars, Javed Hamdi, he is in Malaysia today.","What about those in Pakistan or elsewhere who kill in the name of religion? You know you describe yourself as spiritual, I remember when we were discussing your memoirs and your former wife Jemima was moderating your book launch in England; she actually said it was too dangerous. She feared for your life to ask you where you stood on the blasphemy controversy in Pakistan, and I remember you told me that you have never supported killing in the name of religion, but you accepted her argument that it was too dangerous in Pakistan right now to have a debate on the issue."
"But aren't you worried, aren't you depressed that Pakistan has become the kind of country also where the man who killed Salman Taseer, there weren't lawyers who were, I mean ready to prosecute him? He was garlanded in the Court.","Yes, the reason for this polarization is this war on terror has spread this message that this is war against Islam. And let me tell you if Islam is threatened, there is going to be no limit of people willing to kill for protecting the religion. Therefore, you need a different approach and while this is depressing, what was most encouraging was my rallies, everyone came, religious people, westernised people, everyone came to the rally. Therefore, there is a chance of reconciling people, getting people together on one stage and this is really my hope, you know, that I become a bridge and get people together rather than polarize the society more.","But aren't you worried, aren't you depressed that Pakistan has become the kind of country also where the man who killed Salman Taseer, there weren't lawyers who were, I mean ready to prosecute him? He was garlanded in the Court."
"What does Imran Khan's ascendency mean for India? Because there are those who are concerned that you if you do come to power you will be a hardliner. We have seen many references to Kashmir in your rallies and on the other hand in India we sort of all know you, in a cricketing context. You have legions of fans, women still love you and then there is an Imran Khan, the politician, who is seen as a radical, who is seen as a conservative.","So much confusion. On one hand, here I'm accused of being a Jewish lobby, which is the worst you can say.","What does Imran Khan's ascendency mean for India? Because there are those who are concerned that you if you do come to power you will be a hardliner. We have seen many references to Kashmir in your rallies and on the other hand in India we sort of all know you, in a cricketing context. You have legions of fans, women still love you and then there is an Imran Khan, the politician, who is seen as a radical, who is seen as a conservative."
You tell us. What does it mean for people in India who love you otherwise but are scared of your politics?,"Because people love putting people in stereotypes, because he is religious, he is rightist. Why? In my opinion someone who is religious, is spiritual, is going to be compassionate. A Leftist? For me, I'm closer to the left than right.",You tell us. What does it mean for people in India who love you otherwise but are scared of your politics?
"You wrote in your book that you had two idols in university, Mick Jagger and Karl Marx. That's quite funny.","In university, yes, Mick Jagger and Karl Marx. Even now I think I find someone like Tariq Ali who is not religious but who is a Leftist. I find my views are far closer to Tariq Ali than probably anyone else. So I don't fit in those stereotypes. I'm deeply spiritual. I lead my life with my faith but I'm totally leftist in my thinking, I'm anti-neo liberal economics, I think there should be compassion in the world, I believe in a welfare state. So they can't place me and secondly as far as India goes that is your question, I do believe that there has to be a resolution on Kashmir but I don't believe in any military solution, I don't believe in any militancy. I believe it should be politically, it should be done on the table. There should be a political roadmap. I do believe that Indian Army should not be there because in 20 years what it hasn't solved by six-seven hundred thousand Indian troops, it's not going to solve in the future too. I don't believe in the military solution.","You wrote in your book that you had two idols in university, Mick Jagger and Karl Marx. That's quite funny."
" But are you tracking the changes, for example, on the Indian, on Jammu and Kashmir, as we call it? There have been elections. There have been Panchayat elections, huge turnouts, a reduction in militancy. The world has changed. And whatever you may criticise General Pervez Musharraf for, there was a four-point formula that he put on the table, that seems to have become the accepted template for going forward.","Well, that was a positive. Yes, I agree with you. And I do believe that there has to be a political settlement and a move forward. Look, there needs to be a road map. And a political road map so there is some sort of a political solution which stops this, you know, tide of extremism and also helping the rightists on both sides of the border, who exploit the situation. And secondly, I believe in relations, normal relations, trade, everything, because really the sub-continent is suffering. We have a great opportunity. This is the fastest growing, probably, region in the world, China, India, and if Pakistan was stable and we had a decent relationship, if we lived as decent neighbours. We have a great opportunity of lifting people out of poverty in the whole sub-continent, which should be our main concern. We should be competing in alleviating poverty in both countries. That should be our goal. So, I am not a hardliner. I believe that when, Inshallah, our government comes to power, we will have a relationship based on truth. There will be no double games. Whatever will be said, whatever will be promised, will be upheld. There will be no cloak and dagger games and I would like that our intelligence would not be operating in either countries. Neither will we be blaming RAW for Balochistan and neither would India be blaming our agencies for any terrorism."," But are you tracking the changes, for example, on the Indian, on Jammu and Kashmir, as we call it? There have been elections. There have been Panchayat elections, huge turnouts, a reduction in militancy. The world has changed. And whatever you may criticise General Pervez Musharraf for, there was a four-point formula that he put on the table, that seems to have become the accepted template for going forward."
Would you like to see more civilian control over the ISI and the military?,"I think that a Tehreek-e-Insaf government, you will find, will be different to all other governments. It will be a government, which will take responsibility for everything happening in Pakistan.",Would you like to see more civilian control over the ISI and the military?
"Tell me this, because I know you come to Mumbai often, the shadow of 26/11 as India see a Hafiz Saeed saying all kinds of inflammatory things at his rallies. We see him being able to operate with impunity. What would you say to Indians? You have so many Indian friends and you love Mumbai. You come there so often.","Look, Hafiz Saeed's case is in the Supreme Court. Everyone trusts the Supreme Court. You look at the polls today people are standing behind the Supreme Court. I always believe in the due process of law. If anyone is accused of anything you must put him through a court. I completely did not agree with this American killing of Osama bin Laden. I think they should have dealt with him the way they dealt with Saddam Hussein, because Saddam Hussein was tried and executed. But it did not have the same martyrdom thing, which Osama has had. I mean Osama is a martyr because of the way in which they killed him.","Tell me this, because I know you come to Mumbai often, the shadow of 26/11 as India see a Hafiz Saeed saying all kinds of inflammatory things at his rallies. We see him being able to operate with impunity. What would you say to Indians? You have so many Indian friends and you love Mumbai. You come there so often."
You think he is a martyr here in Pakistan?,"Amongst various people he is a martyr. In the Muslim world you will find that amongst various people he is a martyr. The way to avoid that was to put him through a trial, accuse him. Look, civilised countries follow the due process of law.",You think he is a martyr here in Pakistan?
"But does that mean you endorse them? In a way aren't you legitimising their very, very radical, dangerous views?","Tell me, today the Americans are engaging the Taliban now. They are allowing an office, as I said, to open in Qatar. They are engaging them. Does that mean they are endorsing their views? I mean, this is what always should have been done. Politicians believe in political settlements. You don't believe in marginalising people. You believe in bringing them in the mainstream. We were petrified when the BJP came to power, that here is an extreme party. But you found that the moment it came...","But does that mean you endorse them? In a way aren't you legitimising their very, very radical, dangerous views?"
"Let's end by talking a little bit about you and your personal journey; from being a cricketing superstar to being seen as a playboy, party boy, to now being seen as somebody who is spiritual, a very serious politician. Your commitment to politics has cost you personally in many ways. It cost you your marriage in many ways. You write about that quite candidly in your book.","Yes. But I have to say that my spirituality hasn't made me into an angel, I am still a humble sinner.","Let's end by talking a little bit about you and your personal journey; from being a cricketing superstar to being seen as a playboy, party boy, to now being seen as somebody who is spiritual, a very serious politician. Your commitment to politics has cost you personally in many ways. It cost you your marriage in many ways. You write about that quite candidly in your book."
"And now your kids, you write about that in your book, growing up, in a sense, far away from you. You worry about that? That's a big cost.","Well, that's why. One of the reasons I wrote the book was because I was scared that they wouldn't know what I was, and they wouldn't know how I evolved into what I became, and they wouldn't know anything about spirituality, because, sadly, in western societies you hardly see any spirituality. The material has become so predominant, and sadly, also in our westernised elites in India and Pakistan, we have become so material. So I wanted them to have another perspective to life. What is religion? What is spirituality? What is Islam? What is being a human being and what should be your purpose of existence? So that's why I wrote my book. I had my two sons in mind because I worried that it's such a materialistic society now, and what you've seen now, this neo liberal economics. This greed, naked greed, where the rich are getting rich and poor people are getting poorer and when the rich make mistakes the poor fund them through the taxes, the blunders they make. So, I wanted them to have another perspective. And I really, yes, I do worry about them. I wish I had more influence over them and the dilemmas they face. I wish I could influence them more.","And now your kids, you write about that in your book, growing up, in a sense, far away from you. You worry about that? That's a big cost."
"But you are standing, at the cusp I think, of a big change for you? A big move forward, how confident, are you, in the end, that you are Pakistan's future?","Well, it's like when I used to step on the cricket field I always thought I could win.","But you are standing, at the cusp I think, of a big change for you? A big move forward, how confident, are you, in the end, that you are Pakistan's future?"
"Well, Imran Khan, as you've been saying now for a while, your time has come. Thank you so much, a pleasure to talk to you.",My Pleasure.,"Well, Imran Khan, as you've been saying now for a while, your time has come. Thank you so much, a pleasure to talk to you."

